Institution,Location,Type,Sample Size (n),Average Words per Sentence,Average Sentences per Paragraph,Percent Passive Voice Sentences,Word Diversity,Flesch Reading Ease Score,Gunning Fog Grade,Coleman-Liau Grade,SMOG Grade
Baylor University,"Waco, Texas, USA",Academic,406,16.3,5.3,35%,6.5,51.1,13.4,13.6,12.2
Central Washington University,"Ellensburg, Washington, USA",Academic,54,16.5,3.4,29%,18.2,54.1,13.4,13.3,12.2
Cornell University,"Ithaca, New York, USA",Academic,2779,8.2,2.3,5%,3.4,62.3,9.5,11.6,9.2
Duke University,"Durham, North Carolina, USA",Academic,688,14.5,3,18%,5.6,53.2,12.5,13.4,11.5
George Fox University,"Newberg, Oregon, USA",Academic,14,17.9,2.7,38%,3.2,41.3,15.4,16.1,13.5
Indiana State University,"Terre Haute, Indiana, USA",Academic,117,18.2,5.8,38%,8.5,47.4,14.7,14.3,13.1
Indiana University,"Bloomington, Indiana, USA",Academic,488,17,3.9,28%,9.7,57.5,12.5,12.7,11.5
Library of Congress,"Washington, District of Columbia, USA",Governmental,438,10.7,2.9,12%,4.7,58.1,11,12.5,10.4
Montana Historical Society,"Helena, Montana, USA",Cultural,149,17.1,4.8,25%,9.1,50.8,13.6,13.8,12.3
Montana State University,"Bozeman, Montana, USA",Academic,116,15,4.7,27%,11.1,55.2,12.4,13,11.5
NATO,"Brussels, Brussels Capital Region, BE",Governmental,2,20.4,7.8,44%,22.1,50.6,14.9,13.1,13.2
University of Notre Dame,"Notre Dame, Indiana, USA",Academic,18,14.1,2.9,15%,39.9,49.4,13.6,14.3,12.2
Oregon Historical Society,"Portland, Oregon, USA",Cultural,652,6.4,2.1,5%,5.8,65.7,8.5,9,8.3
Oregon State University,"Corvallis, Oregon, USA",Academic,131,15.7,3.5,33%,7,54.5,12.7,12.7,11.7
Pacific University,"Forest Grove, Oregon, USA",Academic,24,13.7,3.1,30%,24.1,53.8,12.6,13.4,11.5
Rice University,"Houston, Texas, USA",Academic,700,15.7,4.7,25%,6.5,56.5,12.2,12.7,11.3
Seattle Pacific University,"Seattle, Washington, USA",Academic,4,12.9,4.5,30%,45.5,54.4,10.5,14.2,10.2
Simon Fraser University,"Burnaby, British Columbia, CA",Academic,162,18.8,4.2,27%,5,34.1,17,16.6,14.5
Smithsonian Institution,"Washington, District of Columbia, USA",Cultural,1098,16.4,2.5,25%,5.6,51,13.2,14.2,12
SUNY Upstate Medical University,"Syracuse, New York, USA",Academic,10,9.5,6.8,20%,26.1,55.8,11.3,12,10.3
Texas State University,"San Marcos, Texas, USA",Academic,124,15.6,4,27%,8.8,61,11.3,11.9,10.7
University of Chicago,"Chicago, Illinois, USA",Academic,317,17.9,4.2,33%,6.8,47.1,14.6,14.1,13
University of Houston,"Houston, Texas, USA",Academic,276,16.5,3.5,36%,6.9,48.1,14,14.2,12.6
University of Montana,"Missoula, Montana, USA",Academic,191,17.4,3.7,33%,8,47.9,14.1,14.2,12.7
University of Wyoming,"Laramie, Wyoming, USA",Academic,299,16.6,3,37%,12.1,53.9,13.5,12.7,12.2
Washington State University,"Pullman, Washington, USA",Academic,779,14.1,3.2,21%,8,51.8,13,13.7,11.8
Wesleyan University,"Middletown, Connecticut, USA",Academic,152,12.4,3.7,22%,7.9,59.9,11.1,11.8,10.6
Western Oregon University,"Monmouth, Oregon, USA",Academic,5,12.6,2.4,17%,2.6,58.3,10.8,12.9,10.4
Western Washington University,"Bellingham, Washington, USA",Academic,73,8.8,2.2,10%,10.9,62,10.2,12.3,9.7
Whitman College,"Walla Walla, Washington, USA",Academic,143,16.5,3.1,28%,14.2,53.5,13,13.8,11.9
World Bank,"Washington, District of Columbia, USA",Governmental,24,21.4,7.6,42%,7,35.4,17.1,16.3,14.7
Full Corpus (N),26 locations,3 types,10433,11.1,2.6,14%,11.6,57.9,11,12.6,10.4
